SampleID,Specimen,Category,Site,Sr,d18O,d13Cap,d15N,d13Ccol,C14_cal_AD,dates,LAT,LONG
MP15,Human,Human,Maspalomas,0.70666,-1.53,-13.53,10.74,-19.77,,1565,27.7705,-15.5941
MP16,Human,Human,Maspalomas,0.70699,-1.71,-10.29,10.76,-19.75,,,27.7705,-15.5941
MP17,Human,Human,Maspalomas,0.70634,-1.55,-12.69,10.04,-19.64,,,27.7705,-15.5941
MP18,Human,Human,Maspalomas,0.70671,-1.26,-9.87,11.24,-19.66,,1506,27.7705,-15.5941
MP19,Human,Human,Maspalomas,0.70709,-0.97,-11.05,11.19,-19.34,,,27.7705,-15.5941
MP20,Human,Human,Maspalomas,0.70782,-0.93,-13.61,10.56,-18.75,,,27.7705,-15.5941
GC045,Plant,Flora,Bco Doramas,0.70557,,,,,,,28.1022,-15.5781
GC024,T. sil,Fau,Valleseco,0.70802,1.36,,,,,,28.0509,-15.5761
GC103,Ovicaprid,Fau,La Montañeta,0.70511,0.88,,,,,,28.1201,-15.5724
GC055,Plant,Flora,GC-60,0.70843,,,,,,,27.8383,-15.5708
GC060,T. sil,Fau,GC-60,0.70846,-0.03,,,,,,27.8383,-15.5708
GC022,T. sil,Fau,GC-21,0.70531,0.8,,,,,,28.0544,-15.5678
GC051,Plant,Flora,GC-60,0.70603,,,,,,,27.8886,-15.5633
GC012,Plant,Flora,Banhaderos,0.70578,,,,,,,28.1442,-15.5586
GC034,T. sil,Fau,Banhaderos,0.70532,0.03,,,,,,28.1442,-15.5586
GC044,T. sil,Fau,Banhaderos,0.70572,,,,,,,28.1442,-15.5586
GC057,Plant,Flora,El Sitio de Arriba,0.70743,,,,,,,27.8886,-15.5575
GC062,Plant,Flora,GC-65,0.70614,,,,,,,27.9131,-15.5575
GC050,T. sil,Fau,La Sorrueda,0.70512,0.77,,,,,,27.8936,-15.5472
GC053,Plant,Flora,La Sorrueda,0.70403,,,,,,,27.8939,-15.5417
GC099,Water,Water,La Sorrueda,0.70617,,,,,,,27.8903,-15.5417
GC058,Plant,Flora,La Sorrueda,0.70459,,,,,,,27.8903,-15.54
GC101,Ovicaprid,Fau,La Cerera,0.70514,1,,,,,,28.121453,-15.523611
GC046,Plant,Flora,Cardones,0.70621,,,,,,,28.1289,-15.51
GC048,T. sil,Fau,Cardones,0.70749,0.75,,,,,,28.1289,-15.51
GC056,Plant,Flora,GC-65,0.70838,,,,,,,27.8692,-15.5092
GC067,Plant,Flora,Juan Grande,0.70833,,,,,,,27.7881,-15.4994
GC008,Plant,Flora,Temisas,0.70483,,,,,,,27.9078,-15.4989
GC017,T. sil,Fau,Bco Cernícalo,0.70414,1.42,,,,,,27.9693,-15.4964
GC033,Rabbit,Fau,Bco Cernícalo,0.70432,0.05,,,,,,27.9693,-15.4964
GC108,Ovicaprid,Fau,El Tejar,0.70465,1.05,,,,,,28.0463,-15.4953
GC031,T. sil,Fau,Bco Morisca,0.7067,0.3,,,,,,27.9486,-15.4819
GC036,Lizard,Fau,Bco Morisca,0.70557,,,,,,,27.9433,-15.4633
GC030,T. sil,Fau,Caldera Bandama,0.70453,0.7,,,,,,28.0419,-15.4522
GC090,Rabbit,Fau,Caldera Bandama,0.70482,1.36,,,,,,28.0419,-15.4522
GC007,Plant,Flora,Balos,0.70466,,,,,,,27.8693,-15.4494
GC011,Plant,Flora,Balos,0.70675,,,,,,,27.8693,-15.4494
GC027,T. sil,Fau,San Juan,0.70443,,,,,,,27.9964,-15.4456
GC035,Lizard,Fau,Lomo Blanco,0.70674,,,,,,,28.0857,-15.4453
GC004,T. sil,Fau,Las Coloradas,0.70841,2.9,,,,,,28.1622,-15.4342
GC005,T. sil,Fau,Las Coloradas,0.70865,,,,,,,28.1622,-15.4342
GC028,T. sil,Fau,Jimar,0.70614,0.59,,,,,,28.0439,-15.4272
GC102,Ovicaprid,Fau,Llano de las Brujas,0.70779,1.79,,,,,,28.0292,-15.4259
GC009,Plant,Flora,Ariga,0.70403,,,,,,,27.8603,-15.4258
T2-CI-F,Human,Human,Tenefe,,,,11.4,-19.16,1320-1446,,27.817658,-15.421144
T2-CI-M3,Human,Human,Tenefe,,-2.26,-13.06,,,,,27.817658,-15.421144
T2-CI-PM1,Human,Human,Tenefe,7.0506,-2.08,-12.73,,,,,27.817658,-15.421144
T2-CI-R,Human,Human,Tenefe,,-2.63,-8.37,,,,,27.817658,-15.421144
T4-CI-F,Human,Human,Tenefe,,,,11.9,-19.08,1309-1437,,27.817658,-15.421144
T4-CI-M3,Human,Human,Tenefe,,-1.8,-12.82,,,,,27.817658,-15.421144
T4-CI-PM1,Human,Human,Tenefe,0.7057,-2.56,-12.65,,,,,27.817658,-15.421144
T4-CI-R,Human,Human,Tenefe,,-2.21,-8.56,,,,,27.817658,-15.421144
GC021,Ovicaprid,Fau,El Cendro,0.70438,-1.21,,,,,,28.0069,-15.4181
GC032,T. sil,Fau,Ariga,0.70656,0.48,,,,,,27.8603,-15.3964
GC015,T. sil,Fau,La Restinga,0.70895,0.43,,,,,,28.0286,-15.3936
GC025,T. sil,Fau,Los Caserones,0.70643,0.69,,,,,,28.0047,-15.3856
GC068,Plant,Flora,Tufia,0.70824,,,,,,,27.9625,-15.3808
GC069,T. sil,Fau,Tufia,0.70902,-0.26,,,,,,27.9625,-15.3808
GC100,Pig,Fau,Los Melones,0.70537,-1.22,,,,,,28.0071,-15.378
PC-11,T. sil,Fau,Montaña Roja ,0.708872,,,,,,,28.889722,-13.836111
PC-8,Plant,Flora,Montaña Roja ,0.709075,,,,,,,28.889722,-13.836111
PC-1,Plant,Flora,Ajaches ,0.70772,,,,,,,28.911111,-13.778611
PC-5,T. sil,Fau,Ajaches ,0.707956,,,,,,,28.909167,-13.778611
PC-2,Plant,Flora,Ajaches ,0.705369,,,,,,,28.909444,-13.778333
PC-7,Caliche ,Caliche ,Ajaches ,0.708421,,,,,,,28.909444,-13.777778
PC-16,Flora,Flora,Caldereta Tiche ,0.708477,,,,,,,29.053611,-13.666389
PC-18,Plant,Flora,Caldereta Tiche ,0.708467,,,,,,,29.053611,-13.666389
PC-19,Plant,Flora,Caldereta Tiche ,0.706881,,,,,,,29.053611,-13.666389
PC-20,Plant,Flora,Caldereta Tiche ,0.708452,,,,,,,29.053611,-13.666389
PC-21,Plant,Flora,Caldereta Tiche ,0.708456,,,,,,,29.053611,-13.666389
PC-34,Plant,Flora,Bebedero ,0.707319,,,,,,,29.057631,-13.626494
PC-1pt,Ovicaprid,Fau,Buevista ,0.708243,,,,,,,29.057778,-13.620278
PC-2pt,Ovicaprid,Fau,Buevista ,0.708361,,,,,,,29.057778,-13.620278
PC-33,Plant,Flora,Buevista ,0.708640,,,,,,,29.057778,-13.620278
PC-3pt,Ovicaprid,Fau,Buevista ,0.707789,,,,,,,29.057778,-13.620278
PC-4pt,Ovicaprid,Fau,Buevista ,0.708944,,,,,,,29.057778,-13.620278
